Date,Open,High,Low,Close,Adj Close,Volume
2021-05-31,1.219007,1.223391,1.218413,1.219007,1.219007,0
2021-06-01,1.223406,1.225415,1.221464,1.223287,1.223287,0
2021-06-02,1.221807,1.222942,1.216575,1.221777,1.221777,0
2021-06-03,1.221150,1.221598,1.212090,1.220986,1.220986,0
2021-06-04,1.213030,1.218769,1.210551,1.213301,1.213301,0
2021-06-07,1.216575,1.220200,1.214506,1.216841,1.216841,0
2021-06-08,1.218962,1.219661,1.216663,1.219363,1.219363,0
2021-06-09,1.217182,1.221899,1.217182,1.217285,1.217285,0
2021-06-10,1.217730,1.219215,1.214535,1.218200,1.218200,0
2021-06-11,1.217315,1.219500,1.209500,1.217256,1.217256,0
2021-06-14,1.211079,1.213151,1.209526,1.211020,1.211020,0
2021-06-15,1.212415,1.214919,1.210287,1.212224,1.212224,0
2021-06-16,1.212547,1.213499,1.211035,1.212709,1.212709,0
2021-06-17,1.199185,1.200769,1.190703,1.199559,1.199559,0
2021-06-18,1.191327,1.192748,1.185115,1.191341,1.191341,0
2021-06-21,1.186901,1.192051,1.184876,1.187366,1.187366,0
2021-06-22,1.191157,1.191753,1.188241,1.191256,1.191256,0
2021-06-23,1.193745,1.197000,1.191583,1.193673,1.193673,0
2021-06-24,1.193161,1.195672,1.191995,1.193317,1.193317,0
2021-06-25,1.192791,1.197447,1.192791,1.193033,1.193033,0
2021-06-28,1.194215,1.194600,1.190462,1.194215,1.194215,0
2021-06-29,1.193033,1.193033,1.188044,1.192890,1.192890,0
2021-06-30,1.189994,1.191043,1.184582,1.190193,1.190193,0
2021-07-01,1.185536,1.188399,1.183810,1.185677,1.185677,0
2021-07-02,1.184708,1.186099,1.181935,1.184624,1.184624,0
2021-07-05,1.185593,1.188200,1.185201,1.185621,1.185621,0
2021-07-06,1.186150,1.189626,1.181500,1.186380,1.186380,0
2021-07-07,1.182033,1.184133,1.178245,1.182452,1.182452,0
2021-07-08,1.179357,1.186634,1.178425,1.179340,1.179340,0
2021-07-09,1.184694,1.187465,1.182522,1.184800,1.184800,0
2021-07-12,1.187366,1.188213,1.183670,1.187296,1.187296,0
2021-07-13,1.186493,1.187790,1.179343,1.186521,1.186521,0
2021-07-14,1.177440,1.182801,1.177260,1.177537,1.177537,0
2021-07-15,1.183334,1.185115,1.180596,1.183334,1.183334,0
2021-07-16,1.181307,1.182300,1.179400,1.181181,1.181181,0
2021-07-19,1.181154,1.182327,1.176429,1.181401,1.181401,0
2021-07-20,1.179245,1.180401,1.175710,1.179384,1.179384,0
2021-07-21,1.178550,1.180275,1.175364,1.178411,1.178411,0
2021-07-22,1.179523,1.182984,1.176664,1.179273,1.179273,0
2021-07-23,1.177357,1.178550,1.175599,1.177274,1.177274,0
2021-07-26,1.177302,1.181754,1.176457,1.177343,1.177343,0
2021-07-27,1.180638,1.183712,1.177177,1.180777,1.180777,0
2021-07-28,1.182240,1.183012,1.178578,1.182313,1.182313,0
2021-07-29,1.184680,1.189202,1.184175,1.184596,1.184596,0
2021-07-30,1.189202,1.191100,1.185550,1.189300,1.189300,0
2021-08-02,1.186535,1.189900,1.185958,1.186704,1.186704,0
2021-08-03,1.187493,1.189600,1.185565,1.187465,1.187465,0
2021-08-04,1.186915,1.190200,1.183432,1.186944,1.186944,0
2021-08-05,1.183992,1.185901,1.182984,1.183740,1.183740,0
2021-08-06,1.183320,1.183572,1.175641,1.183572,1.183572,0
2021-08-09,1.175088,1.177163,1.174178,1.174950,1.174950,0
2021-08-10,1.173900,1.174399,1.171070,1.173847,1.173847,0
2021-08-11,1.171976,1.174688,1.170645,1.172333,1.172333,0
2021-08-12,1.174205,1.175101,1.172512,1.174190,1.174190,0
2021-08-13,1.173612,1.180300,1.173103,1.173626,1.173626,0
2021-08-16,1.179635,1.180359,1.176803,1.179468,1.179468,0
2021-08-17,1.177995,1.178411,1.171056,1.177995,1.177995,0
2021-08-18,1.170960,1.173100,1.169686,1.170974,1.170974,0
2021-08-19,1.170385,1.170686,1.166875,1.170330,1.170330,0
2021-08-20,1.167679,1.169100,1.166494,1.167660,1.167660,0
2021-08-23,1.169974,1.174329,1.169561,1.169755,1.169755,0
2021-08-24,1.174674,1.176484,1.172814,1.174453,1.174453,0
2021-08-25,1.175503,1.176055,1.172855,1.175309,1.175309,0
2021-08-26,1.177300,1.178134,1.174784,1.177440,1.177440,0
2021-08-27,1.175295,1.180359,1.173599,1.175641,1.175641,0
2021-08-30,1.179997,1.181195,1.178453,1.179901,1.179901,0
2021-08-31,1.179941,1.184553,1.179649,1.179690,1.179690,0
2021-09-01,1.181195,1.186000,1.179510,1.181028,1.181028,0
2021-09-02,1.184231,1.187225,1.183480,1.184091,1.184091,0
2021-09-03,1.187423,1.190760,1.186817,1.187648,1.187648,0
2021-09-06,1.188594,1.188637,1.185705,1.188594,1.188594,0
2021-09-07,1.187395,1.188778,1.183830,1.187507,1.187507,0
2021-09-08,1.184553,1.185400,1.180317,1.184357,1.184357,0
2021-09-09,1.182033,1.184133,1.180610,1.181910,1.181910,0
2021-09-10,1.182355,1.185300,1.181935,1.182592,1.182592,0
2021-09-13,1.181251,1.181754,1.177060,1.181195,1.181195,0
2021-09-14,1.181070,1.184699,1.180200,1.181195,1.181195,0
2021-09-15,1.180359,1.183300,1.180100,1.180498,1.180498,0
2021-09-16,1.181935,1.182313,1.175171,1.182000,1.182000,0
2021-09-17,1.176484,1.178967,1.172966,1.176747,1.176747,0
2021-09-20,1.172883,1.173709,1.170056,1.172993,1.172993,0
2021-09-21,1.172567,1.174895,1.171591,1.173020,1.173020,0
2021-09-22,1.172608,1.174453,1.171715,1.172292,1.172292,0
2021-09-23,1.168893,1.175101,1.168419,1.168770,1.168770,0
2021-09-24,1.174178,1.174812,1.170166,1.174026,1.174026,0
2021-09-27,1.172209,1.172800,1.168661,1.172305,1.172305,0
2021-09-28,1.169604,1.170600,1.166997,1.169680,1.169680,0
2021-09-29,1.168688,1.169200,1.161009,1.168634,1.168634,0
2021-09-30,1.160227,1.161170,1.157006,1.160160,1.160160,0
2021-10-01,1.157421,1.160900,1.156390,1.157448,1.157448,0
2021-10-04,1.160726,1.164009,1.158856,1.160726,1.160726,0
2021-10-05,1.161656,1.162250,1.158306,1.161845,1.161845,0
2021-10-06,1.159514,1.159958,1.153017,1.159608,1.159608,0
2021-10-07,1.155535,1.157140,1.154935,1.155535,1.155535,0
2021-10-08,1.155922,1.158373,1.154255,1.155976,1.155976,0
2021-10-11,1.156591,1.158749,1.155295,1.156604,1.156604,0
