Date,Open,High,Low,Close,Adj Close,Volume
2021-05-31,0.157050,0.157436,0.156914,0.157050,0.157050,0
2021-06-01,0.157011,0.157196,0.156664,0.157011,0.157011,0
2021-06-02,0.156723,0.156919,0.156497,0.156723,0.156723,0
2021-06-03,0.156737,0.156843,0.156182,0.156737,0.156737,0
2021-06-04,0.156184,0.156438,0.155979,0.156184,0.156184,0
2021-06-07,0.156389,0.156607,0.156209,0.156389,0.156389,0
2021-06-08,0.156340,0.156669,0.156262,0.156340,0.156340,0
2021-06-09,0.156262,0.156858,0.156250,0.156262,0.156262,0
2021-06-10,0.156580,0.156902,0.156384,0.156580,0.156580,0
2021-06-11,0.156438,0.156826,0.156301,0.156438,0.156438,0
2021-06-14,0.156306,0.156318,0.156306,0.156306,0.156306,0
2021-06-15,0.156318,0.156419,0.156096,0.156318,0.156318,0
2021-06-16,0.156128,0.156431,0.156128,0.156128,0.156128,0
2021-06-17,0.156331,0.156343,0.155084,0.156331,0.156331,0
2021-06-18,0.155094,0.155540,0.154988,0.155101,0.155101,0
2021-06-21,0.154988,0.155108,0.154552,0.154988,0.154988,0
2021-06-22,0.154658,0.154928,0.154314,0.154658,0.154658,0
2021-06-23,0.154314,0.154727,0.154114,0.154314,0.154314,0
2021-06-24,0.154488,0.154892,0.154292,0.154488,0.154488,0
2021-06-25,0.154536,0.155034,0.154533,0.154536,0.154536,0
2021-06-28,0.155128,0.155145,0.154715,0.155128,0.155128,0
2021-06-29,0.154916,0.155029,0.154619,0.154916,0.154916,0
2021-06-30,0.154725,0.155164,0.154725,0.154725,0.154725,0
2021-07-01,0.154890,0.154933,0.154605,0.154890,0.154890,0
2021-07-02,0.154617,0.154715,0.154231,0.154617,0.154617,0
2021-07-05,0.154509,0.154931,0.154509,0.154509,0.154509,0
2021-07-06,0.154732,0.154974,0.154364,0.154732,0.154732,0
2021-07-07,0.154361,0.154909,0.154342,0.154366,0.154366,0
2021-07-08,0.154524,0.154595,0.154088,0.154524,0.154524,0
2021-07-09,0.154105,0.154571,0.154095,0.154105,0.154105,0
2021-07-12,0.154369,0.154705,0.154369,0.154369,0.154369,0
2021-07-13,0.154450,0.154962,0.154450,0.154450,0.154450,0
2021-07-14,0.154619,0.155075,0.154416,0.154619,0.154619,0
2021-07-15,0.154605,0.155022,0.154591,0.154600,0.154600,0
2021-07-16,0.154801,0.154885,0.154357,0.154796,0.154796,0
2021-07-19,0.154364,0.154402,0.154078,0.154364,0.154364,0
2021-07-20,0.154097,0.154495,0.154095,0.154097,0.154097,0
2021-07-21,0.154228,0.154772,0.154216,0.154228,0.154228,0
2021-07-22,0.154631,0.154902,0.154567,0.154631,0.154631,0
2021-07-23,0.154567,0.154760,0.154307,0.154567,0.154567,0
2021-07-26,0.154311,0.154490,0.154171,0.154311,0.154311,0
2021-07-27,0.154281,0.154481,0.153598,0.154281,0.154281,0
2021-07-28,0.153617,0.154145,0.153603,0.153617,0.153617,0
2021-07-29,0.154097,0.155125,0.154086,0.154097,0.154097,0
2021-07-30,0.154911,0.155202,0.154641,0.154911,0.154911,0
2021-08-02,0.154787,0.155015,0.154619,0.154787,0.154787,0
2021-08-03,0.154770,0.154957,0.154574,0.154775,0.154775,0
2021-08-04,0.154579,0.155044,0.154574,0.154579,0.154579,0
2021-08-05,0.154674,0.154991,0.154660,0.154674,0.154674,0
2021-08-06,0.154792,0.154792,0.154242,0.154792,0.154792,0
2021-08-09,0.154261,0.154612,0.154157,0.154261,0.154261,0
2021-08-10,0.154197,0.154579,0.154190,0.154197,0.154197,0
2021-08-11,0.154207,0.154538,0.154147,0.154204,0.154204,0
2021-08-12,0.154364,0.154662,0.154328,0.154364,0.154364,0
2021-08-13,0.154359,0.154641,0.154269,0.154361,0.154361,0
2021-08-16,0.154407,0.154495,0.154340,0.154407,0.154407,0
2021-08-17,0.154474,0.154619,0.154176,0.154474,0.154474,0
2021-08-18,0.154200,0.154536,0.154195,0.154200,0.154200,0
2021-08-19,0.154245,0.154254,0.153908,0.154245,0.154245,0
2021-08-20,0.153995,0.154097,0.153773,0.153995,0.153995,0
2021-08-23,0.154045,0.154524,0.153955,0.154045,0.154045,0
2021-08-24,0.154321,0.154593,0.154245,0.154321,0.154321,0
2021-08-25,0.154562,0.154619,0.154361,0.154562,0.154562,0
2021-08-26,0.154443,0.154500,0.154188,0.154443,0.154443,0
2021-08-27,0.154309,0.154574,0.154162,0.154309,0.154309,0
2021-08-30,0.154540,0.154854,0.154540,0.154540,0.154540,0
2021-08-31,0.154677,0.155020,0.154538,0.154677,0.154677,0
2021-09-01,0.154808,0.154933,0.154607,0.154808,0.154808,0
2021-09-02,0.154825,0.155130,0.154744,0.154823,0.154823,0
2021-09-03,0.154909,0.155456,0.154796,0.154909,0.154909,0
2021-09-06,0.154993,0.155101,0.154835,0.154993,0.154993,0
2021-09-07,0.154878,0.155145,0.154653,0.154878,0.154878,0
2021-09-08,0.154667,0.155012,0.154665,0.154667,0.154667,0
2021-09-09,0.154782,0.155159,0.154746,0.154782,0.154782,0
2021-09-10,0.154935,0.155591,0.154895,0.154935,0.154935,0
2021-09-13,0.155198,0.155200,0.154887,0.155198,0.155198,0
2021-09-14,0.155020,0.155354,0.155015,0.155020,0.155020,0
2021-09-15,0.155320,0.155581,0.155200,0.155320,0.155320,0
2021-09-16,0.155487,0.155528,0.154875,0.155487,0.155487,0
2021-09-17,0.154880,0.155265,0.154610,0.154880,0.154880,0
2021-09-20,0.154674,0.154703,0.154660,0.154674,0.154674,0
2021-09-21,0.154679,0.154679,0.154643,0.154679,0.154679,0
2021-09-22,0.154655,0.154899,0.154505,0.154655,0.154655,0
2021-09-23,0.154780,0.155195,0.154588,0.154780,0.154780,0
2021-09-24,0.154849,0.154897,0.154593,0.154849,0.154849,0
2021-09-27,0.154662,0.155053,0.154662,0.154662,0.154662,0
2021-09-28,0.154895,0.155058,0.154772,0.154895,0.154895,0
2021-09-29,0.154823,0.154940,0.154552,0.154823,0.154823,0
2021-09-30,0.154569,0.155359,0.154481,0.154569,0.154569,0
2021-10-01,0.155147,0.155152,0.155137,0.155147,0.155147,0
2021-10-04,0.155142,0.155154,0.155142,0.155142,0.155142,0
2021-10-05,0.155154,0.155154,0.155154,0.155154,0.155154,0
