,real,min_risk,fixed_return,market
VaR95,-0.008629349511539283,-0.008411923670248305,-0.009277801262291451,-0.011450921555756633
VaR95 miesięczny,-0.0408512175225484,-0.0399244832452387,-0.04370430923484664,-0.05333175177810099
VaR99,-0.012144362551632105,-0.011835635691406715,-0.013062730908109435,-0.016138645749001968
VaR99 miesięczny,-0.056570833721439895,-0.055235788874625505,-0.060631029191053065,-0.07429589168983486
