,real,min_risk,fixed_return,market
VaR95,-0.008623937134006266,-0.0084066518812896,-0.00927197326277117,-0.011443703425064237
VaR95 miesięczny,-0.04082701263438097,-0.0399009070882893,-0.04367824562864628,-0.05329947131630364
VaR99,-0.012136707722800451,-0.01182817969967862,-0.013054488257169702,-0.016128437009017043
VaR99 miesięczny,-0.05653660028619248,-0.055202444665938113,-0.06059416693542098,-0.07425023681669303
